GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1039,"Thursday 14 Apr 2016","4 20 32 40 5 7 ","14 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1038,"Thursday 07 Apr 2016","15 35 5 20 34 3 ","13 "
powerball,1036,"Thursday 24 Mar 2016","2 7 16 17 25 32 ","14 "
powerball,1035,"Thursday 17 Mar 2016","6 7 15 29 34 36 ","19 "
powerball,1034,"Thursday 10 Mar 2016","4 6 20 22 31 33 ","18 "
powerball,1033,"Thursday 03 Mar 2016","9 19 20 25 27 32 ","5 "
powerball,1032,"Thursday 25 Feb 2016","9 13 14 15 32 38 ","2 "
powerball,1031,"Thursday 18 Feb 2016","9 12 16 18 20 29 ","17 "
powerball,1030,"Thursday 11 Feb 2016","1 8 21 22 30 33 ","5 "
powerball,1029,"Thursday 04 Feb 2016","6 10 17 18 20 36 ","2 "
powerball,1028,"Thursday 28 Jan 2016","2 9 17 29 31 33 ","9 "
powerball,1027,"Thursday 21 Jan 2016","19 20 22 23 26 36 ","14 "
powerball,1026,"Thursday 14 Jan 2016","12 19 23 34 36 37 ","20 "
powerball,1025,"Thursday 07 Jan 2016","4 14 18 20 23 34 ","18 "
powerball,1024,"Thursday 31 Dec 2015","17 20 26 33 34 37 ","17 "
powerball,1023,"Thursday 24 Dec 2015","1 8 15 26 32 38 ","19 "
powerball,1022,"Thursday 17 Dec 2015","2 7 9 23 32 40 ","9 "
powerball,1021,"Thursday 10 Dec 2015","10 14 17 18 28 35 ","9 "
powerball,1020,"Thursday 03 Dec 2015","2 7 11 19 21 25 ","16 "
powerball,1019,"Thursday 26 Nov 2015","3 4 8 17 19 33 ","9 "
powerball,1018,"Thursday 19 Nov 2015","2 5 13 16 23 38 ","18 "
powerball,1017,"Thursday 12 Nov 2015","1 3 15 19 26 35 ","18 "
powerball,1016,"Thursday 05 Nov 2015","13 17 19 20 24 31 ","19 "
powerball,1015,"Thursday 29 Oct 2015","4 10 23 24 26 34 ","5 "
powerball,1014,"Thursday 22 Oct 2015","9 12 18 31 35 38 ","10 "
powerball,1013,"Thursday 15 Oct 2015","6 7 13 20 23 29 ","18 "
powerball,1012,"Thursday 08 Oct 2015","5 6 13 20 27 35 ","3 "
powerball,1011,"Thursday 01 Oct 2015","3 5 16 17 27 40 ","18 "
powerball,1010,"Thursday 24 Sep 2015","7 15 16 21 34 39 ","5 "
powerball,1009,"Thursday 17 Sep 2015","7 16 21 38 39 40 ","10 "
powerball,1008,"Thursday 10 Sep 2015","11 12 15 24 29 38 ","15 "
powerball,1007,"Thursday 03 Sep 2015","3 15 21 30 32 33 ","17 "
powerball,1006,"Thursday 27 Aug 2015","2 5 6 11 23 28 ","14 "
powerball,1005,"Thursday 20 Aug 2015","2 3 17 19 20 33 ","1 "
powerball,1004,"Thursday 13 Aug 2015","1 5 11 12 26 39 ","14 "
powerball,1003,"Thursday 06 Aug 2015","5 7 16 17 25 26 ","17 "
powerball,1002,"Thursday 30 Jul 2015","1 3 7 20 21 36 ","19 "
powerball,1001,"Thursday 23 Jul 2015","3 9 21 25 27 32 ","18 "
powerball,1000,"Thursday 16 Jul 2015","2 5 11 18 25 39 ","2 "
powerball,999,"Thursday 09 Jul 2015","2 17 19 24 27 35 ","11 "
powerball,998,"Thursday 02 Jul 2015","7 17 23 26 37 39 ","12 "
powerball,997,"Thursday 25 Jun 2015","1 4 24 25 26 37 ","19 "
powerball,996,"Thursday 18 Jun 2015","10 15 22 25 34 37 ","19 "
powerball,995,"Thursday 11 Jun 2015","14 16 17 18 32 35 ","1 "
powerball,994,"Thursday 04 Jun 2015","3 4 8 16 21 33 ","8 "
powerball,993,"Thursday 28 May 2015","25 26 29 31 37 39 ","2 "
powerball,992,"Thursday 21 May 2015","6 13 14 31 35 40 ","16 "
powerball,991,"Thursday 14 May 2015","5 13 27 29 31 38 ","1 "
powerball,990,"Thursday 07 May 2015","10 19 20 22 32 33 ","12 "
