291: 14 16 28 37 40 45 
292: 14 16 25 42 43 45 
293: 14 16 24 26 30 45 
294: 14 16 18 19 20 45 
295: 14 15 29 33 42 45 
296: 14 15 26 27 39 45 
297: 14 15 25 35 38 45 
298: 14 15 24 41 43 45 
299: 14 15 22 36 44 45 
300: 14 15 20 34 40 45 
301: 13 21 22 24 27 45 
302: 13 20 27 36 40 45 
303: 13 20 24 25 30 45 
304: 13 19 25 29 36 45 
305: 13 19 22 34 38 45 
306: 13 19 20 33 43 45 
307: 13 18 25 26 31 45 
308: 13 18 22 30 37 45 
309: 13 18 19 32 44 45 
310: 13 17 28 30 40 45 
311: 13 17 26 33 36 45 
312: 13 17 25 38 43 45 
313: 13 17 24 34 37 45 
314: 13 16 28 31 41 45 
315: 13 16 26 29 42 45 
316: 13 16 25 32 33 45 
317: 13 16 24 35 40 45 
318: 13 16 23 30 39 45 
319: 13 16 18 34 36 45 
320: 13 15 31 36 37 45 
321: 13 15 27 30 35 45 
322: 13 15 26 28 32 45 
323: 13 15 25 39 44 45 
324: 13 15 23 38 40 45 
325: 13 15 22 42 43 45 
326: 13 15 16 19 21 45 
327: 13 14 30 38 41 45 
328: 13 14 29 39 40 45 
329: 13 14 27 42 44 45 
330: 13 14 23 34 35 45 
331: 13 14 21 32 37 45 
332: 13 14 16 17 22 45 
333: 12 21 22 23 28 45 
334: 12 19 25 28 33 45 
335: 12 19 22 26 30 45 
336: 12 19 20 37 40 45 
337: 12 18 25 30 36 45 
338: 12 18 24 31 38 45 
339: 12 18 20 22 29 45 
340: 12 17 28 29 32 45 
341: 12 17 25 35 40 45 
